metric,count,mean,std,min,25%,50%,75%,max,timestamp,time_mean,time_max,time_min
base_score,7.0,3.3770558834075928,0.49817681312561035,2.5525028705596924,3.1626585721969604,3.454962968826294,3.582214832305908,4.142178058624268,,,,
correction_score,7.0,0.07122476398944855,0.012154250405728817,0.04863617196679115,0.06934840604662895,0.07298753410577774,0.07451703771948814,0.08921872824430466,,,,
final_score,7.0,3.4482805728912354,0.5003985166549683,2.625490427017212,3.224896788597107,3.5441815853118896,3.6520283222198486,4.214441776275635,,,,
,,,,,,,,,2026-04-07 01:35:13.009035,4.214442,4.214442,4.214442
,,,,,,,,,2026-04-07 01:35:13.450509,3.5441816,3.5441816,3.5441816
,,,,,,,,,2026-04-07 01:35:13.633013,3.5567522,3.5567522,3.5567522
,,,,,,,,,2026-04-07 01:35:14.532372,3.3436956,3.3436956,3.3436956
,,,,,,,,,2026-04-07 01:35:14.682013,3.7473044,3.7473044,3.7473044
,,,,,,,,,2026-04-07 01:35:16.550071,3.106098,3.106098,3.106098
,,,,,,,,,2026-04-07 01:35:17.082573,2.6254904,2.6254904,2.6254904
