place_code,place_name,category,place_cx,place_cy,place_radius,place_correction,place_base_score,live_grid_count,eng_name,place_centroid_lon,place_centroid_lat
POI008,경복궁,고궁·문화유산,197956.3216953902,553352.3215688941,350.0,0.07437013566666667,3.3242343833333337,6,Gyeongbokgung Palace,126.9768635,37.57972
POI009,광화문·덕수궁,고궁·문화유산,198070.81951402992,552285.9637382117,828.0881505913698,0.07503727966666666,3.227036566666667,3,Gwanghwamun & Deoksugung Palace,126.97816253650085,37.57011242045663
POI012,창덕궁·종묘,고궁·문화유산,199469.60960705424,553277.0031291561,684.5084490443132,0.08387170925000001,3.1643307,4,Changdeokgung Palace & Jongmyo Shrine,126.9939955,37.57904349999999
POI066,북촌한옥마을,발달상권,198632.2473101279,553705.7367363196,735.6814181880387,0.0785696464,3.8912078199999995,5,Bukchon Hanok Village,126.984515,37.58290550000001
POI067,서촌,발달상권,197263.02484718992,553400.8567838938,405.22590981168287,0.057115529666666665,3.0664587,3,Seochon,126.9690145,37.5801555
POI078,인사동,발달상권,198834.28721306936,552695.099959558,350.0,0.08329065,3.1399229,1,Insa-dong,126.98680399999999,37.5738
POI116,익선동,발달상권,199089.66277026053,552598.4526024498,350.0,0.07837298,2.8004737,1,Ikseon-dong,126.989695,37.5729295
POI129,송현녹지광장,공원,198624.9345978166,553141.78848915,350.0,0.08663844,3.5679607,1,Songhyeon Green Plaza,126.98443326712648,37.57782435037084
