grid_id,final_score_citywide,score_source,driver_place,geometry
5*0*9*3*,11.64117110418317,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.9767412913324 37.57487556701567, 126.97674115121872 37.57532606429763, 126.9761751340858 37.575325951421924, 126.97617527760924 37.574875454141775, 126.9767412913324 37.57487556701567))"
5*5*4*6*,7.138542665936317,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.98924816075663 37.587670009976705, 126.98924809595616 37.588120506309025, 126.98868198191467 37.58812045338467, 126.98868205012704 37.5876699570532, 126.98924816075663 37.587670009976705))"
5*1*6*9*,6.223209972765885,PLACE_PROPAGATED,Changdeokgung Palace & Jongmyo Shrine,"POLYGON ((127.01936492697087 37.577535604417186, 127.01936504363907 37.57798610150707, 127.018799006354 37.57798619300479, 127.01879889309598 37.577535695913426, 127.01936492697087 37.577535604417186))"
5*5*2*3*,6.194770655051289,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99901892492423 37.58169231779194, 126.99901891901264 37.582142814589524, 126.99845285022735 37.58214280852756, 126.99845285954981 37.58169231173007, 126.99901892492423 37.58169231779194))"
5*0*8*6*,6.1768966892899035,HYBRID_PROPAGATED,Seochon,"POLYGON ((126.95152205045368 37.58925887759095, 126.95152175826433 37.58970937364797, 126.95095563238442 37.589709139777355, 126.95095592798593 37.58925864372413, 126.95152205045368 37.58925887759095))"
5*4*8*4*,6.167271899543187,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96725856062774 37.574168687398675, 126.96725836339381 37.57461918469818, 126.96669235165768 37.57461902635807, 126.96669255230125 37.57416852906111, 126.96725856062774 37.574168687398675))"
5*6*0*0*,6.139445315006018,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96315722809213 37.57615609026032, 126.96315700613593 37.57660658738815, 126.96259097938204 37.576606409375664, 126.9625912047482 37.5761559122507, 126.96315722809213 37.57615609026032))"
5*5*9*7*,6.13041428777092,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.98086009579953 37.57283463249127, 126.98085998050657 37.5732851299414, 126.98029397880522 37.573285036818476, 126.98029409750757 37.57283453936987, 126.98086009579953 37.57283463249127))"
5*6*3*3*,6.1188332047164256,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.97624265180546 37.57158292583741, 126.9762425087049 37.572033423369675, 126.9756765164938 37.57203330811175, 126.97567666300355 37.571582810581354, 126.97624265180546 37.57158292583741))"
5*4*1*0*,6.110221519752511,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95540470212623 37.58191375687475, 126.9554044334098 37.58236425351864, 126.95483836312265 37.58236403830596, 126.95483863524998 37.58191354166556, 126.95540470212623 37.58191375687475))"
5*6*0*6*,6.104077925115981,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.95892343398575 37.578038343855354, 126.95892318650661 37.57848884081648, 126.95835714553328 37.57848864249514, 126.95835739642271 37.578038145537214, 126.95892343398575 37.578038343855354))"
5*0*3*5*,6.064879449669623,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99617680161548 37.580436630367046, 126.99617677857938 37.580887127259764, 126.99561071930258 37.580887107569126, 126.99561074574937 37.58043661067673, 126.99617680161548 37.580436630367046))"
5*1*3*5*,6.055638326653964,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96940184421098 37.574394294443806, 126.96940165988667 37.5748447917354, 126.96883564643112 37.574844643670794, 126.96883583416508 37.57439414638158, 126.96940184421098 37.574394294443806))"
5*3*8*8*,6.0548615,BASE_ONLY,,"POLYGON ((126.95987637069429 37.60873741189204, 126.95987612868876 37.60918790650939, 126.95930985513613 37.609187712623005, 126.95931010055712 37.608737218008784, 126.95987637069429 37.60873741189204))"
5*7*2*0*,6.053224185178217,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.9576753193606 37.58106154076305, 126.95767506433398 37.58151203748572, 126.95710900048208 37.581511833165656, 126.95710925891947 37.5810613364463, 126.9576753193606 37.58106154076305))"
5*6*0*7*,6.048616276262069,PLACE_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.99668755769359 37.60562926016983, 126.99668753771684 37.606079755135056, 126.99612128758656 37.60607973788344, 126.99612131097824 37.605629242918475, 126.99668755769359 37.60562926016983))"
5*7*3*2*,6.043454228506857,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.98090264434916 37.57111893858489, 126.98090252931961 37.57156943616639, 126.98033654060224 37.57156934325109, 126.98033665904087 37.571118845671094, 126.98090264434916 37.57111893858489))"
5*5*9*5*,6.038256882122871,HYBRID_PROPAGATED,Bukchon Hanok Village,"POLYGON ((126.96433115964045 37.576496793726015, 126.96433094475385 37.57694729083364, 126.96376491541358 37.576947118448636, 126.96376513371018 37.576496621343786, 126.96433115964045 37.576496793726015))"
