"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1104073030001","SF020816","202005","20200517","미국",1000,1
"1122053020001","SF082148","202105","20210529","미국",22500,4
"1114066100001","SF010202","201905","20190522","ETC",72300,1
"1122060010001","SF010101","202007","20200720","ETC",327420,2.86
"1101073040002","SF071841","201804","20180427","중국",351250,10
"1106080090001","SF010202","201704","20170425","미국",46860,1
"1123053040006","SF041121","202101","20210122","ETC",10100,1
"1101056020013","SF031018","201906","20190612","미국",12500,2
"1115072030053","SF010204","201911","20191128","미국",90707.92,1
"1123079060201","SF020816","202003","20200327","일본",139800,2.86
"1122053040004","SF082148","202102","20210212","중국",37000,1
"1108060010004","SF020816","201904","20190415","미국",500000,2.86
"1102071020001","SF010202","201703","20170302","ETC",13200,1
"1122061010007","SF020816","201807","20180709","일본",4000,1
"1104054030001","SF010101","202012","20201207","미국",158900,2
"1123051030002","SF041121","201912","20191212","ETC",27600,8
"1122066020012","SF010203","201901","20190128","미국",46000,1
"1114078020002","SF020816","201810","20181019","일본",6300,1
"1102071020112","SF010204","201908","20190830","일본",10930,5.71
"1109060020007","SF020816","202101","20210129","중국",6900,1
"1103057010003","SF020713","202007","20200711","미국",20730.61,1
"1104068030003","SF020816","202103","20210316","ETC",9000,2
"1111052010001","SF020816","201702","20170211","ETC",70000,1
"1114066010002","SF010408","201711","20171117","미국",597500,4
"1108060010004","SF082044","202011","20201107","미국",12960,1
"1123053020005","SF010408","201702","20170207","ETC",20900,3
"1124064020021","SF020713","201701","20170124","홍콩",20000,2
"1123064030006","SF010306","201809","20180909","ETC",129300,1
"1124082021002","SF020816","201811","20181112","ETC",29000,2
"1124065010014","SF010101","201705","20170517","일본",168000,1
"1114066080002","SF010408","201902","20190223","미국",4200,6
"1101072010004","SF010202","201804","20180427","영국",20800,1
"1102054050003","SF082044","201903","20190330","미국",35500,2
"1119056020003","SF010101","201808","20180813","ETC",31600,1
"1103065030003","SF071841","201909","20190910","일본",2300,2
"1112071020003","SF020816","201901","20190113","미국",7700,1
"1122057020017","SF010101","201908","20190812","미국",18000,10
"1104068030003","SF010101","202104","20210428","미국",10000,6
"1116058010002","SF051331","202009","20200915","홍콩",82922.43,1
"1120053050003","SF020816","201705","20170515","ETC",900,2.86
"1124061010005","SF010101","201809","20180922","미국",51190,1
"1123072020402","SF020612","201912","20191226","미국",11500,1
"1111066030001","SF020816","201707","20170728","ETC",15800,1
"1107060030001","SF071943","202005","20200509","미국",66900,7
"1122055040003","SF010408","202009","20200906","중국",4500,2
"1123064030002","SF082045","202011","20201129","홍콩",18400,1
"1103052020010","SF020715","201705","20170504","미국",17850,2
"1105065020003","SF020713","202005","20200522","미국",93000,1
"1114068010003","SF041223","201906","20190628","미국",275200,1
"1102057020007","SF010306","202105","20210527","미국",245200,1
"1124061020009","SF020713","201806","20180609","미국",32000,1
"1121069030005","SF092352","201809","20180918","중국",51600,1
"1102058010001","SF010306","201907","20190711","미국",3900,2
"1114071010010","SF010408","201710","20171015","일본",191182.26,1
"1114077010002","SF020816","202001","20200115","ETC",126000,1
"1105055020004","SF020713","201710","20171010","미국",5700,1
"1103057010012","SF010204","201804","20180401","중국",416630,6
"1106082010001","SF020816","201904","20190408","싱가폴",12020,1
"1116051010002","SF010101","201807","20180712","ETC",2200,1
"1114069010017","SF020816","202001","20200112","미국",150000,1
"1105055020004","SF010101","202007","20200731","태국",35360,2.86
"1104055010004","SF082046","201907","20190709","ETC",400,1
"1103073020004","SF092350","201710","20171013","미국",454470,1
"1123051020003","SF010101","202012","20201218","미국",20000,1
"1106071010002","SF010101","201710","20171007","미국",211500,1
"1120055020008","SF061638","201810","20181016","미국",600,1
"1122051030001","SF020816","201808","20180803","중국",11500,1
"1113075010001","SF010408","202012","20201219","미국",3500,1
"1103066030002","SF020715","201710","20171021","일본",8600,1
"1108084040007","SF082046","202001","20200122","일본",196000,1
"1114066080002","SF010203","201705","20170501","미국",206200,1
"1119076030001","SF010408","201709","20170911","미국",17100,1
"1113068030001","SF051329","201805","20180517","미국",28150,1
"1105066020101","SF010408","201712","20171216","ETC",8900,8
"1114068010012","SF010101","201811","20181104","일본",10400,1
"1114066050002","SF010408","201905","20190523","미국",3000,4
"1101053020002","SF020713","201708","20170825","미국",107300,1
"1123064040003","SF082045","202102","20210228","중국",24000,27
"1104068020001","SF020713","201712","20171226","미국",17505.85,4
"1114071030002","SF071841","201904","20190417","태국",242300,1
"1108060030003","SF020816","201907","20190728","미국",13500,1
"1117054010002","SF010408","202004","20200427","미국",11500,2.86
"1119054050302","SF061535","201710","20171009","미국",13500,1
"1110060010009","SF010408","202101","20210116","러시아",2000000,5.71
"1113075030011","SF071943","201810","20181028","미국",434000,1
"1108060010001","SF020816","201710","20171008","미국",23270,17.14
"1114068040011","SF020816","201801","20180109","일본",23494.69,2
"1122052030104","SF010408","201809","20180917","중국",184500,6
"1114066070008","SF061535","202011","20201126","ETC",22112.65,2
