"가맹점집계구코드(TOT_REG_CD)","외국인관광업종코드(SF_UPJONG_CD)","기준년월(TS_YM)","일별(TS_YMD)","국가별(COUNTRY_ENG_NM)","카드이용금액계(AMT_CORR)","카드이용건수(USECT_CORR)"
"1123058040003","SF010202","201805","20180503","미국",95400,1
"1104062010004","SF020816","201910","20191009","일본",4000,1
"1108082040017","SF020612","201705","20170503","미국",250000,2.86
"1123064030006","SF020816","202003","20200322","중국",5500,2.86
"1102059010001","SF041222","202107","20210713","영국",15500,1
"1108072030008","SF020816","202007","20200720","ETC",1500,3
"1114066070005","SF010203","201905","20190524","미국",6000,4
"1120055030008","SF010101","201811","20181120","미국",15050,2.86
"1113075030010","SF010101","202107","20210713","미국",65200,1
"1123066010003","SF031020","201903","20190308","ETC",82922.43,1
"1121073020007","SF020816","201811","20181124","중국",73710,2.86
"1106071020007","SF010306","202010","20201011","미국",16500,1
"1121058010021","SF020816","202009","20200901","ETC",4500,1
"1123064030006","SF020713","201909","20190920","일본",17200,2
"1121061020004","SF010408","201909","20190917","미국",22100,1
"1122054030002","SF010101","202011","20201117","미국",6000,5
"1123064050003","SF010408","201904","20190406","ETC",13820.4,1
