grid_id,timestamp,real_time_population,real_time_population_growth,traffic_congestion,transit_change,real_time_temp,real_time_rain,event_flag,holiday_flag
5*0*0*0*,2026-04-07 01:35:13.633013,85000.0,0.0,0.0,0.0,2.376470588235294,0.0,0,0
5*0*3*8*,2026-04-07 01:35:16.720863,182000.0,0.0,0.0,0.0,1.2032967032967032,0.0,0,0
5*0*5*5*,2026-04-07 01:35:16.550071,80000.0,0.0,0.0,0.0,2.5375,0.0,0,0
5*0*8*5*,2026-04-07 01:35:17.082573,108000.0,0.0,0.0,0.0,1.8703703703703705,0.0,0,0
5*0*8*6*,2026-04-07 01:35:13.274012,435000.0,0.0,0.0,0.0,0.4827586206896552,0.0,0,0
5*0*8*7*,2026-04-07 01:35:13.009035,113000.0,0.0,0.0,0.0,1.6902654867256637,0.0,0,0
5*0*9*3*,2026-04-07 01:35:09.716269,96000.0,0.0,0.0,0.0,2.1041666666666665,0.0,0,0
5*1*0*8*,2026-04-07 01:35:14.175691,193000.0,0.0,0.0,0.0,1.0829015544041452,0.0,0,0
5*1*1*2*,2026-04-07 01:35:09.470045,388000.0,0.0,0.0,0.0,0.5412371134020618,0.0,0,0
5*1*2*6*,2026-04-07 01:35:13.952556,182000.0,0.0,0.0,0.0,1.1538461538461537,0.0,0,0
5*1*2*8*,2026-04-07 01:35:09.172513,840000.0,0.0,0.0,0.0,0.0,0.0,0,0
5*1*3*4*,2026-04-07 01:35:16.920291,226000.0,0.0,0.0,0.0,0.9247787610619469,0.0,0,0
5*1*3*9*,2026-04-07 01:35:12.830232,135000.0,0.0,0.0,0.0,1.4444444444444444,0.0,0,0
5*1*5*8*,2026-04-07 01:35:14.532372,863000.0,0.0,0.0,0.0,0.24565469293163383,0.0,0,0
5*1*6*9*,2026-04-07 01:35:12.682098,185000.0,0.0,0.0,0.0,1.0918918918918918,0.0,0,0
5*1*7*8*,2026-04-07 01:35:14.682013,148000.0,0.0,0.0,0.0,1.3716216216216217,0.0,0,0
5*2*0*1*,2026-04-07 01:35:13.450509,287000.0,0.0,0.0,0.0,0.7630662020905923,0.0,0,0
5*2*2*7*,2026-04-07 01:35:08.749507,144000.0,0.0,0.0,0.0,1.4027777777777777,0.0,0,0
5*2*5*1*,2026-04-07 01:35:09.963637,160000.0,0.0,0.0,0.0,1.29375,0.0,0,0
