timestamp,grid_id,base_score,correction_score,final_score,lon,lat
2026-04-07 01:43:20.230072,5*0*4*9*,3.5698302,0.068664625,3.6384947,197958.426774108,553438.792842838
2026-04-07 01:43:21.382490,5*0*5*5*,3.0574617,0.047621243,3.105083,197348.089350674,553198.9042064125
2026-04-07 01:43:21.206906,5*0*8*7*,4.142178,0.070443645,4.2126217,198185.5350845515,554473.7081495282
2026-04-07 01:43:20.859169,5*0*8*8*,3.604304,0.10483847,3.7091424,199465.771090197,553901.0026813284
2026-04-07 01:43:20.230072,5*1*2*4*,3.426611,0.07747199,3.504083,198217.983495992,553458.4737843166
2026-04-07 01:43:20.230072,5*1*5*8*,3.2678554,0.07497236,3.3428278,197868.0060783915,553210.3528091339
2026-04-07 01:43:20.503509,5*1*7*2*,3.6837287,0.051039845,3.7347686,197815.0842187035,553106.635969803
2026-04-07 01:43:20.859169,5*1*8*7*,3.5407355,0.09643145,3.637167,199178.28839153948,553366.9826097125
2026-04-07 01:43:20.859169,5*2*4*8*,2.2650723,0.07592166,2.3409941,199254.3506874605,552575.270625666
2026-04-07 01:43:21.382490,5*2*9*2*,2.4231124,0.06423981,2.4873521,197139.3267174325,553759.2488906351
2026-04-07 01:43:20.503509,5*3*6*2*,3.3859496,0.10208444,3.488034,197906.035715114,553003.451834135
2026-04-07 01:43:20.503509,5*4*0*6*,2.6114314,0.071987554,2.683419,198084.745244306,553040.407546037
2026-04-07 01:43:21.206906,5*4*6*2*,3.9349127,0.11171444,4.046627,198389.33361520767,553399.159497559
2026-04-07 01:43:21.967120,5*5*1*2*,2.8004737,0.07837298,2.8788466,199199.5692609945,552744.4372347386
2026-04-07 01:43:20.859169,5*5*1*4*,3.247211,0.058295257,3.3055062,199336.51632933848,553105.0220620565
2026-04-07 01:43:21.584027,5*5*5*8*,3.1399229,0.08329065,3.2232134,198550.14028333905,552887.475096134
2026-04-07 01:43:21.206906,5*7*0*9*,3.1089187,0.06478616,3.1737049,198422.84760172467,553437.1002800573
2026-04-07 01:43:21.206906,5*7*2*7*,4.702069,0.059265547,4.7613344,198484.454557663,553390.652834812
2026-04-07 01:43:22.331801,5*7*9*7*,3.5679607,0.08663844,3.6545992,198352.542904897,553136.9497767941
2026-04-07 01:43:21.382490,5*8*2*8*,3.718802,0.059485536,3.7782874,197305.2766051575,553815.113800731
