metric,count,mean,std,min,25%,50%,75%,max,timestamp,time_mean,time_max,time_min
base_score,20.0,3.35992693901062,0.5774726271629333,2.2650723457336426,3.096054434776306,3.406280279159546,3.6241602301597595,4.70206880569458,,,,
correction_score,20.0,0.07537830621004105,0.017817649990320206,0.047621242702007294,0.06305123958736658,0.07347995787858963,0.08412759937345982,0.1117144376039505,,,,
final_score,20.0,3.43530535697937,0.5792554020881653,2.340994119644165,3.156549394130707,3.496058464050293,3.7155489921569824,4.761334419250488,,,,
,,,,,,,,,2026-04-07 01:43:20.230072,3.495135,3.6384947,3.3428278
,,,,,,,,,2026-04-07 01:43:20.503509,3.3020737,3.7347686,2.683419
,,,,,,,,,2026-04-07 01:43:20.859169,3.2482023,3.7091424,2.3409941
,,,,,,,,,2026-04-07 01:43:21.206906,4.048572,4.7613344,3.1737049
,,,,,,,,,2026-04-07 01:43:21.382490,3.1235743,3.7782874,2.4873521
,,,,,,,,,2026-04-07 01:43:21.584027,3.2232134,3.2232134,3.2232134
,,,,,,,,,2026-04-07 01:43:21.967120,2.8788466,2.8788466,2.8788466
,,,,,,,,,2026-04-07 01:43:22.331801,3.6545992,3.6545992,3.6545992
