place_id,place_code,place_name,category,grid_id,weight,grid_rank_basis
PLACE_081,,구로역,인구밀집지역,5*6*3*0*,1.0,avg_flow
PLACE_082,,군자역,인구밀집지역,5*8*2*1*,1.0,avg_flow
PLACE_083,,대림역,인구밀집지역,5*5*1*9*,1.0,avg_flow
PLACE_084,,동대문역,인구밀집지역,5*3*4*3*,1.0,avg_flow
PLACE_085,,뚝섬역,인구밀집지역,5*5*3*4*,1.0,avg_flow
PLACE_086,,미아사거리역,인구밀집지역,5*2*5*1*,1.0,avg_flow
PLACE_087,,발산역,인구밀집지역,5*5*2*3*,1.0,avg_flow
PLACE_088,,사당역,인구밀집지역,5*1*3*9*,1.0,avg_flow
PLACE_089,,삼각지역,인구밀집지역,5*3*4*6*,1.0,avg_flow
PLACE_090,,서울대입구역,인구밀집지역,5*0*8*7*,1.0,avg_flow
PLACE_091,,서울식물원·마곡나루역,인구밀집지역,5*3*3*6*,1.0,avg_flow
PLACE_092,,서울역,인구밀집지역,5*4*1*6*,1.0,avg_flow
PLACE_093,,선릉역,인구밀집지역,5*0*8*6*,1.0,avg_flow
PLACE_094,,성신여대입구역,인구밀집지역,5*0*0*0*,1.0,avg_flow
PLACE_095,,수유역,인구밀집지역,5*7*4*6*,1.0,avg_flow
PLACE_096,,숭례문,인구밀집지역,5*2*5*9*,1.0,avg_flow
PLACE_097,,시의회 앞,인구밀집지역,5*1*7*7*,1.0,avg_flow
PLACE_098,,신논현역·논현역,인구밀집지역,5*1*2*6*,1.0,avg_flow
PLACE_099,,신도림역,인구밀집지역,5*5*9*3*,1.0,avg_flow
PLACE_100,,신림역,인구밀집지역,5*9*9*3*,1.0,avg_flow
PLACE_101,,신정네거리역,인구밀집지역,5*6*3*2*,1.0,avg_flow
PLACE_102,,신촌·이대역,인구밀집지역,5*1*0*8*,1.0,avg_flow
PLACE_103,,쌍문역,인구밀집지역,5*8*2*8*,1.0,avg_flow
PLACE_104,,양재역,인구밀집지역,5*7*9*5*,1.0,avg_flow
PLACE_105,,역삼역,인구밀집지역,5*7*3*2*,1.0,avg_flow
PLACE_106,,연신내역,인구밀집지역,5*8*4*8*,1.0,avg_flow
PLACE_107,,오목교역·목동운동장,인구밀집지역,5*1*5*8*,1.0,avg_flow
PLACE_108,,왕십리역,인구밀집지역,5*3*2*6*,1.0,avg_flow
PLACE_109,,용산역,인구밀집지역,5*7*0*9*,1.0,avg_flow
PLACE_110,,이태원역,인구밀집지역,5*0*5*5*,1.0,avg_flow
PLACE_111,,잠실새내역,인구밀집지역,5*6*3*3*,1.0,avg_flow
PLACE_112,,잠실역,인구밀집지역,5*5*4*3*,1.0,avg_flow
PLACE_113,,장지역,인구밀집지역,5*7*9*7*,1.0,avg_flow
PLACE_114,,장한평역,인구밀집지역,5*0*3*8*,1.0,avg_flow
PLACE_115,,천호역,인구밀집지역,5*9*5*3*,1.0,avg_flow
PLACE_116,,총신대입구(이수)역,인구밀집지역,5*3*3*1*,1.0,avg_flow
PLACE_117,,충정로역,인구밀집지역,5*6*7*8*,1.0,avg_flow
PLACE_118,,합정역,인구밀집지역,5*1*3*4*,1.0,avg_flow
PLACE_119,,혜화역,인구밀집지역,5*0*8*5*,1.0,avg_flow
PLACE_120,,홍대입구역(2호선),인구밀집지역,5*8*2*2*,1.0,avg_flow
PLACE_121,,회기역,인구밀집지역,5*4*6*1*,1.0,avg_flow
