place_id,place_code,place_name,api_query,category,grid_id,weight,mapping_source,review_status,grid_lon_wgs84,grid_lat_wgs84,place_centroid_lon,place_centroid_lat
POI003,POI003,명동 관광특구,POI003,관광특구,5*5*2*6*,1.0,SPATIAL_JOIN,SPATIAL_MATCHED,126.97833840463954,37.5690626694116,126.982212,37.563487
POI006,POI006,종로·청계 관광특구,POI006,관광특구,5*1*0*6*,0.9441752917859503,SPATIAL_JOIN,SPATIAL_MATCHED,126.99630392394015,37.56885395710895,126.99658600000001,37.570586
POI006,POI006,종로·청계 관광특구,POI006,관광특구,5*1*8*4*,0.05582470821404977,SPATIAL_JOIN,SPATIAL_MATCHED,126.9940882473324,37.56981225152279,126.99658600000001,37.570586
POI008,POI008,경복궁,POI008,고궁·문화유산,5*0*4*9*,0.08649912641406207,SPATIAL_JOIN,SPATIAL_MATCHED,126.97688709077413,37.58049910548416,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*1*1*2*,0.2272770591038243,SPATIAL_JOIN,SPATIAL_MATCHED,126.97594479528998,37.58006501768636,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*1*2*4*,0.007149286130279017,SPATIAL_JOIN,SPATIAL_MATCHED,126.97982551729072,37.58067696830557,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*1*5*8*,0.13840072004659124,SPATIAL_JOIN,SPATIAL_MATCHED,126.97586409110663,37.57844066987035,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*1*7*2*,0.0026737024160386844,SPATIAL_JOIN,SPATIAL_MATCHED,126.97526528169139,37.57750606323657,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*2*9*9*,0.013620881351146249,SPATIAL_JOIN,SPATIAL_MATCHED,126.97439178851408,37.578205346186174,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*3*1*0*,0.46837618904752654,SPATIAL_JOIN,SPATIAL_MATCHED,126.97510292319237,37.57700290021138,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*3*6*2*,0.0014983322450276193,SPATIAL_JOIN,SPATIAL_MATCHED,126.97629520852665,37.57657659134106,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*4*0*6*,0.028441840354375865,SPATIAL_JOIN,SPATIAL_MATCHED,126.9783181989395,37.576909949114615,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*4*2*2*,0.003363747065986622,SPATIAL_JOIN,SPATIAL_MATCHED,126.97944959384961,37.57863765227068,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*8*6*9*,0.022003776714963903,SPATIAL_JOIN,SPATIAL_MATCHED,126.9750232935138,37.58020883037236,126.97686350000001,37.579719999999995
POI008,POI008,경복궁,POI008,고궁·문화유산,5*9*7*3*,0.0006953391101777172,SPATIAL_JOIN,SPATIAL_MATCHED,126.97932234921961,37.5818439286993,126.97686350000001,37.579719999999995
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*0*9*3*,0.8459502319535089,SPATIAL_JOIN,SPATIAL_MATCHED,126.97645821356153,37.575100759562794,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*1*2*8*,0.009286699273248948,SPATIAL_JOIN,SPATIAL_MATCHED,126.97496696568429,37.56946459899748,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*1*7*2*,0.00010805619949442533,SPATIAL_JOIN,SPATIAL_MATCHED,126.97526528169139,37.57750606323657,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*2*9*4*,0.003957353249339073,SPATIAL_JOIN,SPATIAL_MATCHED,126.97641821220539,37.56836289386198,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*3*1*0*,0.01892916377625248,SPATIAL_JOIN,SPATIAL_MATCHED,126.97510292319237,37.57700290021138,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*3*6*2*,6.055426625133143e-05,SPATIAL_JOIN,SPATIAL_MATCHED,126.97629520852665,37.57657659134106,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*4*0*6*,0.001149461195413966,SPATIAL_JOIN,SPATIAL_MATCHED,126.9783181989395,37.576909949114615,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*5*2*6*,0.05048414170069187,SPATIAL_JOIN,SPATIAL_MATCHED,126.97833840463954,37.5690626694116,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*6*3*3*,0.005086273068215485,SPATIAL_JOIN,SPATIAL_MATCHED,126.97595958500193,37.57180811731855,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*7*8*9*,0.060399207388162526,SPATIAL_JOIN,SPATIAL_MATCHED,126.97675406775936,37.572728367838174,126.97816253650083,37.57011242045664
POI009,POI009,광화문·덕수궁,POI009,고궁·문화유산,5*8*2*2*,0.0045888579294206845,SPATIAL_JOIN,SPATIAL_MATCHED,126.97548503002723,37.56855419401647,126.97816253650083,37.57011242045664
POI010,POI010,보신각,POI010,고궁·문화유산,5*4*6*0*,1.0,SPATIAL_JOIN,SPATIAL_MATCHED,126.98391326278231,37.57025219705557,126.9832065,37.570577
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*0*3*5*,0.013358114033296528,SPATIAL_JOIN,SPATIAL_MATCHED,126.99589376131169,37.580661869311776,126.9939955,37.5790435
POI012,POI012,창덕궁·종묘,POI012,고궁·문화유산,5*0*8*8*,0.005289783455986908,SPATIAL_JOIN,SPATIAL_MATCHED,126.99395158969111,37.58466569381001,126.9939955,37.5790435
